codigo_tce;nome_municipio;fonte_url
103;Lagoa Seca;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/103/despesas/despesas-2026.zip
104;Lastro;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/104/despesas/despesas-2026.zip
105;Livramento;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/105/despesas/despesas-2026.zip
106;Logradouro;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/106/despesas/despesas-2026.zip
107;Lucena;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/107/despesas/despesas-2026.zip
108;Mãe d'Água;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/108/despesas/despesas-2026.zip
109;Malta;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/109/despesas/despesas-2026.zip
110;Mamanguape;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/110/despesas/despesas-2026.zip
111;Manaíra;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/111/despesas/despesas-2026.zip
112;Marcação;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/112/despesas/despesas-2026.zip
113;Mari;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/113/despesas/despesas-2026.zip
114;Marizópolis;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/114/despesas/despesas-2026.zip
115;Massaranduba;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/115/despesas/despesas-2026.zip
116;Mataraca;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/116/despesas/despesas-2026.zip
117;Matinhas;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/117/despesas/despesas-2026.zip
118;Mato Grosso;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/118/despesas/despesas-2026.zip
119;Maturéia;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/119/despesas/despesas-2026.zip
120;Mogeiro;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/120/despesas/despesas-2026.zip
121;Montadas;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/121/despesas/despesas-2026.zip
122;Monte Horebe;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/122/despesas/despesas-2026.zip
123;Monteiro;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/123/despesas/despesas-2026.zip
124;Mulungu;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/124/despesas/despesas-2026.zip
125;Natuba;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/125/despesas/despesas-2026.zip
126;Nazarezinho;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/126/despesas/despesas-2026.zip
127;Nova Floresta;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/127/despesas/despesas-2026.zip
128;Nova Olinda;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/128/despesas/despesas-2026.zip
129;Nova Palmeira;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/129/despesas/despesas-2026.zip
130;Olho d'Água;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/130/despesas/despesas-2026.zip
131;Olivedos;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/131/despesas/despesas-2026.zip
132;Ouro Velho;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/132/despesas/despesas-2026.zip
133;Parari;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/133/despesas/despesas-2026.zip
134;Passagem;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/134/despesas/despesas-2026.zip
135;Patos;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/135/despesas/despesas-2026.zip
136;Paulista;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/136/despesas/despesas-2026.zip
137;Pedra Branca;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/137/despesas/despesas-2026.zip
138;Pedra Lavrada;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/138/despesas/despesas-2026.zip
139;Pedras de Fogo;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/139/despesas/despesas-2026.zip
140;Pedro Régis;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/140/despesas/despesas-2026.zip
141;Piancó;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/141/despesas/despesas-2026.zip
142;Picuí;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/142/despesas/despesas-2026.zip
143;Pilar;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/143/despesas/despesas-2026.zip
144;Pilões;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/144/despesas/despesas-2026.zip
145;Pilõezinhos;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/145/despesas/despesas-2026.zip
146;Pirpirituba;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/146/despesas/despesas-2026.zip
147;Pitimbu;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/147/despesas/despesas-2026.zip
148;Pocinhos;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/148/despesas/despesas-2026.zip
149;Poço Dantas;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/149/despesas/despesas-2026.zip
150;Poço de José de Moura;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/150/despesas/despesas-2026.zip
151;Pombal;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/151/despesas/despesas-2026.zip
152;Prata;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/152/despesas/despesas-2026.zip
153;Princesa Isabel;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/153/despesas/despesas-2026.zip
154;Puxinanã;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/154/despesas/despesas-2026.zip
155;Queimadas;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/155/despesas/despesas-2026.zip
